Entidad,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Puebla,308397163000.0,336057021000.0,336332435000.0,320161124000.0,332213538000.0,341115830999.99994,329437380000.0,338783405000.0,344990458000.0,357570479000.0,375451267000.0,385949837000.0,395756540000.0,405919866000.0,425377902000.0,390625793000.0,425612773000.0,464012270000.0,505678766000.0,544796012000.0,563688529000.0001,573874347000.0001,562578598999.9999,576613125000.0001,592032266000.0001,621212047000.0001,650292566000.0,674599970000.0,674193135000.0,624404773000.0,671261179000.0,707410027999.9999,747711784999.9998,735647500999.9999,747336718000.0,765649970000.0,781511065000.0,835368657000.0,849556003000.0001,856910727000.0002,767210115999.9999,794876174000.0,825802782000.0,851623357000.0
Querétaro,175561876000.0,198478890000.0,197183528000.0,179814669000.0,188626446000.0,194642252000.0,181294454000.0,186881167000.0,189848458000.0,198639217000.0,213298179000.0,224437967000.0,239270704000.0,249996002000.0,266657533000.0,249677708000.0,275429117000.0,311036856000.0,345343606000.0,355088080000.0,368560567000.0,368073905000.0,361864277000.0,361413518000.0,384867516999.99994,403091741000.0,427146947999.99994,451359319000.0,451687485000.0,430538218000.0,470414969000.0,509818258000.0,526760646000.00006,522047708000.0,542149191999.99994,574578187000.0,576734826000.0,591415259000.0,611367749999.9999,609108252000.0,553613926000.0,578175108000.0,589221237000.0001,613730685000.0
Quintana Roo,91703466000.0,99980216000.0,99390222000.0,95478357000.0,98611552000.0,100014657000.0,97316339000.0,99925011000.0,102517019000.0,107924653000.0,114991925000.0,122000950000.0,129251814000.0,135856071999.99998,140495158000.0,134354565000.0,146787797000.00003,160989365000.0,174543175000.0,174096956000.0,180224210000.0,189902126000.0,188918367000.0,196536479000.0,213011750000.0,220251865000.0,234332557000.0,253901251000.0,266797066999.99997,243054262000.0,255104161000.0,268258780000.00003,280380539000.0,289182389000.0,300005938000.0,318607819000.0,339733437000.00006,357116770999.99994,377340667000.0,376757268000.0,292733432000.0,332542124999.99994,356727573000.0,406186435000.00006
San Luis Potosí,186212873000.0,204513595000.0,203667928000.0,192541554000.0,199365178000.0,203356617000.0,194413403000.0,198907789000.0,201730855000.0,209760856000.0,222175786000.0,231723191000.0,240115625000.0,247556065000.0,264259318000.00003,237666352000.0,254611970000.0,271486832000.0,288747333000.0,295819416000.0,310464565000.0,307856591000.0,307862796000.0,321098785000.0,352876293000.0,366859435000.0,377360110000.0,382599136000.0,396936763000.0,372395450000.00006,393802130000.0,416107847000.00006,437595484000.0,450257199000.0,460034176000.0,480024605000.0,505856104000.0,540243664000.0001,557795951999.9999,534391919999.99994,500250925000.0001,516190984000.0001,532793150000.0001,575114474000.0
Sinaloa,255449731000.0,277443379000.0,277301134000.0,269176196000.0,277534929000.0,283610763000.0,275432429000.0,281418354000.0,283922528000.0,292598806000.0,308943744000.0,320499134000.0,327922167000.0,337214920000.00006,344143941000.0,327570368999.99994,332225363000.0,340612525000.0,356125715000.0,365612281000.0,391566997000.0,383669662000.0,370366756000.0,371316275000.0,396222844000.0,393983567000.0,411251100000.0,431732231000.0,452116581000.0,437071056000.0,441733310000.0,452498760000.00006,466781777000.0,465716020000.0,465691046000.0,485181193000.00006,507491757000.0,518703286000.0,527714060999.9999,522342467000.0,484352671000.0,507429021000.0,516319269000.0,517548272000.0
Sonora,310677357000.0,345288324000.0,342667231000.0,318569226000.0,331187849000.0,340299333000.0,319284907000.0,327130427000.0,329333277000.0,341157465000.0,365246871000.0,381781173000.0,401565199000.0,412351751000.0001,446592628000.0,427732851000.0,443592829000.0,490764861000.0,527235040000.00006,544837721000.0,591564059000.0,573834854000.0,527470593999.99994,510814148000.0,533388519000.00006,559241969000.0,605738979000.0,614338181000.0,623269541999.9999,574217794000.0,595753065000.0,648753485000.0001,681378519000.0,709513529999.9999,721989413000.0,760030956000.0001,792034337000.0,784601396999.9999,782097739000.0,783103494000.0,731237968000.0001,760930124000.0,790043703999.9999,829550016000.0001
Tabasco,270117126999.99997,294253549000.0,294532487000.0,281657890000.0,292093515000.0,299283011000.0,291678089000.0,299962761000.0,306785499000.0,319254887000.0,335679740000.0,349833294000.0,362566507000.0,374781921000.0,375021806000.0,375082821000.0,400198471000.0,413550601000.0,430207572000.0,424251703000.0,425906505000.0,417100655000.0,395538825000.0,396077777000.0,410827401000.00006,443012195000.0,478124997000.0,490366571000.0,510292455000.0,523308944000.0,548305605000.0,569065838000.0,595176484000.0,597199661000.0001,594889244000.0001,553280081999.9999,532828921000.00006,502350996000.0,471565250000.0,445870998000.0,464760608000.0,545415760999.99994,637775227000.0001,653095641000.0001
Tamaulipas,301661539000.0,330920502000.0,331231125000.0,313171267000.0,326251160000.00006,336626475000.0,322702867000.0,331968011000.0,336905194000.0,348522485000.0,367555948000.0,377819949000.0,388740610000.0,393413027000.0,419239836000.0,391818081000.0,423986738000.0,455081683000.0,504207002000.0,536545010000.0,565664824000.0,538197189999.99994,558158706000.0,582321193999.9999,609099706000.0,638372448999.9999,657147376000.0,670947628000.0,686326364000.0,630178749000.0001,642628688000.0,647447553000.0,676616006999.9999,680107018000.0,687652551999.9999,712997104000.0,709959659000.0,709149522000.0,732093584000.0,752813525000.0,691399975000.0001,725029605000.0,748872570000.0,749222919000.0
Tlaxcala,62461652000.0,68018688000.00001,68237902000.0,65651448000.00001,67937155000.0,69470168000.0,67563429000.0,68998903000.0,69999493999.99998,72350801000.0,76003553999.99998,79411943000.0,82727754000.0,84565457000.0,87364992000.0,83622143000.0,90221405000.0,99083706000.0,101404039000.0,107601492000.0,112212235000.0,116176586000.0,112954382000.0,111662698000.0,116474385000.0,111972309000.0,117236121000.0,118240101000.0,119841564000.0,114299182000.0,121829162000.0,125891351000.00003,128974597999.99998,128120564000.0,130495959000.00002,137053700000.00002,139167799000.0,143920437000.0,147752939000.0,147876820000.0,135083245000.0,143213330000.00003,146641599000.00003,148529162000.0
Veracruz,598151443000.0,642816177000.0,646101093000.0,630969855000.0,650194980000.0,663322167000.0,652268475000.0001,665977182000.0,676135840999.9999,697097940000.0,727876670000.0,754565225000.0,777545070000.0001,795130741000.0,837586157000.0,819429085000.0,844058975000.0,870946819000.0,907890003000.0,891190639000.0,896917145000.0,882374528000.0,876026947000.0,891802541000.0,931125824000.0,940665082000.0,992039256000.0,1024390917000.0,1013361517000.0,996543788000.0,1029013319000.0,1047541989000.0001,1084722594000.0,1074459351000.0,1074852021000.0,1082921836999.9999,1059514085000.0,1032743718000.0,1029905400000.0,1053328002000.0001,971252079000.0,1027896032000.0,1041978086000.0,1069284605000.0
Yucatán,128858195000.0,139814095000.0,140424337000.0,136385792000.00002,140916064000.0,143685351000.00003,140308631000.0,143337162000.0,145505231000.0,150564737000.0,157851869000.0,164029897000.0,169412962000.0,175790252000.0,187126784000.0,175941944999.99997,184958478000.0,196057819000.0,209786254000.0,217164868000.0,232449318000.0,237095381000.0,234921506000.0,237526365000.0,246929640000.0,258320600000.00003,270589952000.0,276668944000.00006,280991471000.0,272887757999.99997,283033049000.0,289260514000.0,299649182000.0,302445463000.0,312685721000.0,322098079000.0,336107728000.00006,349598977000.00006,364797901000.0,365825755000.0,333528199999.99994,358659836000.0,369043267999.99994,389502137000.0001
Zacatecas,75634110000.0,80855522000.0,81826676000.0,81474093000.00002,84037773000.0,86028782000.0,85762145000.0,87847798000.00002,89469397000.0,92479173000.0,96917509000.0,101223598000.0,105714439000.0,109452145000.0,112635597000.0,115226865000.0,113144758000.0,116878946000.0,126943370000.0,124224347000.0,124586508000.0,129056610000.00002,138591099000.00003,142477004000.00003,146477354000.0,150277013000.0,159901097999.99997,165494332000.0,172265574000.0,180057640000.0,197186988000.0,197227212000.00003,201298320000.0,196163855000.0,211201498000.0,214605466000.0,216654627000.0,220568037000.0,228388213000.00006,219746547000.0,210643065000.0,221592281000.0,225013349000.0,228860430000.0
Nacional,10516029242000.0,11524079100000.0,11518364729999.996,10985740805000.002,11371715290000.0,11589963045999.998,11134482147000.0,11364226951999.998,11502672925000.004,11919696436000.0,12545485661000.0,13044282250000.0,13509782270000.0,13897107652999.996,14507764340000.004,13650311995000.0,14499128962000.004,15542903293999.998,16504244130000.004,16958941072999.998,17811854383000.0,17731550488999.996,17689599762000.0,17899317914999.996,18537507510000.004,18929250875000.0,19838803942000.0,20251027283999.996,20442061697999.996,19155182675000.0,20107450915000.0,20799960586000.0,21539026999000.0,21722561397000.0,22266442952000.0,22868154246000.0,23273490765000.0,23709107314000.004,24176670379000.0,24081730905000.0,22069934772000.0,23404831103000.0,24273093489000.0,25087101732000.0
