Estado,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023
Georgia,147.636095,197.690186,155.503042,151.669691,124.323528,153.183687,162.63942,159.966698,192.909367,242.907119,242.471509,224.595918,229.88413,274.725203,244.340005,241.269221,253.47278,278.702831,264.827921,274.697419,233.662907,326.858575,292.130607,310.827947,283.43028,350.37814,300.012477,283.306582,241.634959,273.846785,275.380523,279.352366,269.335475,378.644244,363.210972,340.001485,309.715593,376.876317,478.050801,379.157143,431.011504
Hawaii,3.185202,3.270765,2.78376,2.458775,1.814949,1.954304,1.995459,2.483373,5.570873,5.901981,6.50482,7.729817,6.699988,7.518995,7.117749,7.25953,7.181886,8.029746,8.089479,8.495867,7.16547,9.434676,8.712663,9.571722,8.786259,10.275637,7.701101,7.747878,7.473737,7.236587,7.729303,7.352563,7.436146,9.732752,11.013498,11.254118,9.804082,12.070572,12.49206,15.123596,54.497238
Idaho,18.381146,28.351794,26.246202,25.043831,19.170326,23.700968,26.887691,24.671965,15.615438,24.957979,27.595571,23.576459,19.393955,28.026923,29.294152,26.561056,21.525848,29.520343,31.781512,31.912545,23.237908,37.114065,36.206521,37.675087,26.105613,39.538472,46.907368,42.029128,32.902757,43.28253,46.173646,43.954748,36.474328,55.141184,61.84955,59.88123,40.442332,62.692155,71.322227,67.180755,41.540282
Illinois,249.022706,281.932588,231.741261,286.584978,265.878199,252.797676,245.442034,275.500344,288.785949,303.476857,311.388698,299.56449,323.697396,333.746553,321.970144,332.042227,333.788271,357.12006,359.196465,365.225775,299.435639,400.558311,358.757447,394.56103,362.438952,408.934725,373.002749,318.333262,319.281481,287.064811,316.901484,321.491841,326.12712,375.304065,398.043993,419.601901,372.623941,413.938757,447.72921,449.704012,379.93913
Indiana,53.888651,75.3976,65.052215,62.058133,52.745732,54.749451,66.365806,62.445829,54.86912,65.441064,67.913718,62.092092,64.763781,71.829182,72.040911,72.289024,73.419078,78.829375,79.752065,79.974931,71.636802,96.279496,89.025337,92.414772,79.788737,96.287331,102.197837,93.618336,86.501435,87.619607,101.96932,98.206879,103.460342,134.912668,146.361145,147.675628,122.07624,153.087457,159.689206,156.591061,119.903943
Iowa,20.621,25.61305,26.963913,25.888356,21.614226,23.378984,28.341079,27.668987,23.035525,28.04173,32.080276,28.585695,28.328715,32.523243,33.156647,33.436394,30.3228,33.946447,35.402083,35.771398,30.030071,42.055161,39.918162,41.054512,34.797926,42.201893,48.629318,42.636697,37.827775,41.266164,48.915346,44.930047,40.40124,52.030307,61.435795,57.96452,43.39061,58.483359,68.53693,64.614952,91.034703
Kansas,38.327137,45.810296,42.550389,42.607114,36.204381,40.070736,43.127858,40.319741,39.120024,44.08841,45.733902,43.211267,41.734397,45.538275,45.839355,47.431149,45.827525,50.931992,50.905194,52.893632,45.983734,59.979067,54.20363,57.865884,51.926322,62.826391,65.481914,63.785938,60.888886,66.234124,68.354709,67.534429,63.324076,79.400153,81.647193,84.745133,70.923151,90.519398,95.524327,93.395408,94.536814
Kentucky,29.368762,39.146133,41.510723,42.3374,28.491059,32.665086,45.383598,41.667193,28.285113,36.277959,46.128553,39.454142,32.004624,40.117964,45.3563,44.822967,38.55721,44.18804,50.674638,52.107433,37.183504,51.328517,53.607344,56.331023,41.018632,53.451943,68.094613,61.06716,45.940895,50.293724,61.786674,58.233036,46.764988,62.734062,72.392894,72.338695,55.358714,70.401342,80.304398,77.924985,54.945565
Luisiana,55.767424,69.556998,62.716002,63.582196,48.43,62.953624,63.931957,66.64813,80.537881,98.27978,93.586252,91.586222,75.768944,95.817975,87.537859,93.565828,86.372952,99.126687,98.328776,105.767354,80.957392,119.737676,108.750073,119.053571,106.19273,127.864457,93.530866,96.276713,89.052952,99.1046,82.350193,95.894291,97.177897,127.209924,103.086112,137.706434,120.792112,146.120784,117.79902,128.910213,109.718315
Maine,1.842612,2.801335,1.191513,0.597379,0.383564,0.659083,1.490589,0.676127,1.088698,1.64871,8.729506,6.080693,1.769411,1.749669,2.245356,1.863718,2.15193,1.866525,2.269347,1.988294,2.220335,2.098991,2.349892,2.181918,1.933567,2.344328,6.569569,5.916755,2.505457,3.637135,9.864999,4.842469,3.246474,4.09076,13.52606,6.713224,3.252982,5.937205,14.664482,8.7076,18.272761
Maryland,30.602953,41.378345,37.04464,33.806161,27.329192,34.26927,35.902012,31.905851,29.589146,41.984282,44.133681,40.873871,36.080021,47.637079,44.19157,42.805269,36.712242,46.458832,46.125638,45.868456,31.837127,53.345053,49.043222,51.519715,44.146394,55.289381,48.072811,39.625204,34.297998,32.609064,39.074281,38.321848,44.10011,61.863283,54.776238,47.855798,38.7405,52.979093,56.293984,54.599123,39.256094
Massachusetts,9.119732,11.672316,10.606458,10.170031,8.31499,11.105802,10.724372,10.297181,11.861375,16.974918,18.879834,19.018557,16.607212,21.497974,21.271684,19.352315,17.106061,21.768875,21.969727,22.528714,18.161176,25.871677,24.307328,26.144456,23.893284,28.744348,27.305143,23.830079,20.172225,16.8271,21.085708,21.703774,23.317241,32.654547,36.51212,33.843473,26.866106,35.490041,36.78028,33.654443,36.325584
