PERIODO,CVE_ENT,ENTIDAD,VALOR_USD
2004-10-01,17,Morelos,111323602
2004-10-01,18,Nayarit,66135149
2004-10-01,19,Nuevo León,75894535
2004-10-01,20,Oaxaca,235508429
2004-10-01,21,Puebla,258767306
2004-10-01,22,Querétaro,86013878
2004-10-01,23,Quintana Roo,17481717
2004-10-01,24,San Luis Potosí,114348051
2004-10-01,25,Sinaloa,92846157
2004-10-01,26,Sonora,42756149
2004-10-01,27,Tabasco,27692577
2004-10-01,28,Tamaulipas,69978042
2004-10-01,29,Tlaxcala,46269204
2004-10-01,30,Veracruz,299857591
2004-10-01,31,Yucatán,19913657
2004-10-01,32,Zacatecas,118558273
2005-01-01,1,Aguascalientes,67807962
2005-01-01,2,Baja California,52400685
2005-01-01,3,Baja California Sur,5284180
2005-01-01,4,Campeche,13129019
2005-01-01,5,Coahuila,52114722
2005-01-01,6,Colima,38514981
2005-01-01,7,Chiapas,148349841
2005-01-01,8,Chihuahua,81096145
2005-01-01,9,Ciudad de México,253327610
2005-01-01,10,Durango,83636042
2005-01-01,11,Guanajuato,392332540
2005-01-01,12,Guerrero,256972928
2005-01-01,13,Hidalgo,158889827
2005-01-01,14,Jalisco,374553789
2005-01-01,15,Estado de México,353316424
2005-01-01,16,Michoacán,532102916
2005-01-01,17,Morelos,106338052
2005-01-01,18,Nayarit,64418099
2005-01-01,19,Nuevo León,57843475
2005-01-01,20,Oaxaca,215424785
2005-01-01,21,Puebla,235788084
2005-01-01,22,Querétaro,81122373
2005-01-01,23,Quintana Roo,19114251
2005-01-01,24,San Luis Potosí,114184201
2005-01-01,25,Sinaloa,95553540
2005-01-01,26,Sonora,62716087
2005-01-01,27,Tabasco,30425438
2005-01-01,28,Tamaulipas,85805141
2005-01-01,29,Tlaxcala,41328612
2005-01-01,30,Veracruz,279468755
2005-01-01,31,Yucatán,19869321
2005-01-01,32,Zacatecas,114293098
2005-04-01,1,Aguascalientes,77984737
2005-04-01,2,Baja California,66827984
2005-04-01,3,Baja California Sur,6239538
2005-04-01,4,Campeche,17407572
2005-04-01,5,Coahuila,62037223
2005-04-01,6,Colima,42418478
2005-04-01,7,Chiapas,202884943
2005-04-01,8,Chihuahua,103712029
2005-04-01,9,Ciudad de México,328847335
2005-04-01,10,Durango,104577766
2005-04-01,11,Guanajuato,526381173
2005-04-01,12,Guerrero,311275557
2005-04-01,13,Hidalgo,222407690
2005-04-01,14,Jalisco,438801235
2005-04-01,15,Estado de México,462195458
2005-04-01,16,Michoacán,652518102
2005-04-01,17,Morelos,132154204
2005-04-01,18,Nayarit,77864459
2005-04-01,19,Nuevo León,74990513
2005-04-01,20,Oaxaca,283318899
2005-04-01,21,Puebla,308920415
2005-04-01,22,Querétaro,112148805
2005-04-01,23,Quintana Roo,22886985
2005-04-01,24,San Luis Potosí,150189787
2005-04-01,25,Sinaloa,119039814
2005-04-01,26,Sonora,81624290
2005-04-01,27,Tabasco,41017153
2005-04-01,28,Tamaulipas,115485185
2005-04-01,29,Tlaxcala,57320054
2005-04-01,30,Veracruz,360140991
2005-04-01,31,Yucatán,23894595
2005-04-01,32,Zacatecas,146347609
2005-07-01,1,Aguascalientes,87585230
2005-07-01,2,Baja California,70209337
2005-07-01,3,Baja California Sur,6413334
2005-07-01,4,Campeche,17315520
2005-07-01,5,Coahuila,63070191
2005-07-01,6,Colima,42041105
2005-07-01,7,Chiapas,209602422
2005-07-01,8,Chihuahua,102527752
