Estado,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023,Abr-Jun 2023,Jul-Sep 2023,Oct-Dic 2023
Maryland,31.855097,42.718547,38.270653,35.011496,28.419719,35.4921,36.842128,32.751237,30.737283,43.195262,45.300684,42.140601,36.95925,49.202995,45.416606,43.852135,37.832846,47.94479,47.689308,47.297099,32.795282,55.191882,50.901856,52.81961,45.14248,56.790167,49.802787,41.128562,36.896793,35.619691,43.001239,42.664595,49.060123,69.318847,60.749005,54.053125,44.958092,60.522718,64.93293,63.566503,47.493553,57.736657,100.972036,84.422923
Massachusetts,9.492873,12.05037,10.957485,10.532636,8.646786,11.50209,11.005196,10.570018,12.198791,17.618212,19.643714,19.777403,17.121497,14.126012,21.845652,19.97259,17.628316,22.465348,22.714778,23.230037,18.704926,26.761809,25.227034,26.633109,24.228342,29.263413,27.966693,24.438659,21.616182,18.940078,23.482264,24.253498,26.95462,37.504496,40.054385,37.54606,30.267179,38.99192,41.287349,39.244964,42.78446,51.575914,54.01726,50.633327
Michigan,40.373004,48.893595,51.726761,42.014616,37.549541,39.596094,55.047055,46.688921,51.73711,63.346802,72.075524,62.430438,60.759842,57.864521,77.601037,72.725771,71.575618,81.677985,92.052785,87.204032,73.462739,98.634035,102.687514,100.392125,84.904459,106.141437,124.467456,98.061664,89.255161,97.788155,131.255435,115.159805,104.063966,139.369065,156.122956,146.442547,124.959786,174.441118,191.50538,164.239753,134.106683,172.660445,187.668072,146.862643
Minnesota,71.828277,84.683095,92.339578,186.496091,184.035131,108.676462,190.308232,218.379852,177.062332,159.951755,138.63865,113.172575,126.076666,93.755881,126.432067,130.543721,140.608584,139.744539,141.695569,149.456052,179.637284,181.931853,171.585992,174.969251,153.658991,181.478665,209.461063,206.005657,119.513774,123.651553,146.731451,166.620209,173.179703,223.744792,252.230648,248.346642,202.028394,250.140792,199.433368,174.487041,148.385965,178.906184,169.177222,149.994315
Mississipi,23.245973,29.467042,28.283845,26.332285,21.554679,23.963644,28.755979,26.879676,22.477095,29.830555,27.199609,30.354195,25.747816,33.558548,28.668359,30.674097,27.61263,33.837842,32.483011,33.964049,23.175765,38.649039,34.846878,37.116607,31.755153,40.378768,37.947875,35.237359,28.812948,34.824735,36.066883,37.34568,32.337943,42.347364,42.091525,44.634719,36.345305,46.931718,48.128196,49.47676,44.471096,59.764201,85.833723,76.391995
Misuri,26.816833,34.431695,34.746794,31.964597,25.077521,32.279123,37.003974,32.913295,33.068395,44.422851,51.034612,42.433695,39.663987,46.25834,48.770826,48.107041,47.265035,57.1429,56.786229,56.622688,45.297222,65.673074,60.31727,62.375092,52.917161,67.47672,77.514439,67.601912,57.718953,71.706644,84.377447,75.751904,66.541854,90.809137,95.020854,88.412476,73.708901,99.507976,116.570404,98.859319,82.6811,111.621614,114.037906,99.811702
Montana,0.975621,3.905532,2.187365,1.314281,1.02535,1.687969,3.310092,2.112954,2.971259,5.861475,9.016504,7.227466,3.536972,2.707087,5.331322,4.864268,4.765169,5.60837,6.086853,6.086946,5.237009,6.540262,6.204911,6.369041,5.799348,7.415914,11.44298,7.092694,4.58683,9.471631,12.69994,6.974771,5.849539,11.005978,17.975581,12.450068,10.571526,19.557026,22.678915,14.18502,15.827647,26.801492,26.68421,19.919585
Nebraska,22.497815,28.045017,27.335851,25.602072,21.551792,23.161075,27.412209,25.529326,27.192737,29.322253,33.195608,32.238121,33.178003,34.481379,38.527463,38.302016,33.4193,39.496243,40.912967,41.944982,31.252517,46.666135,43.269008,45.876829,40.837615,49.915774,53.330342,51.494017,46.777595,51.642919,52.922569,48.661005,48.808721,58.79251,65.236236,64.261918,53.381575,61.530582,71.393695,67.503433,52.094318,63.406813,67.674759,59.79105
Nevada,61.996394,69.29287,59.501634,57.893096,59.090762,53.292965,57.65846,57.547921,65.022607,65.830502,66.673599,61.262075,69.922034,84.362115,74.560564,73.856073,77.274935,80.592815,82.812142,82.939716,79.851418,97.55933,89.177917,92.102602,84.592661,100.091321,111.364517,104.479935,112.266499,117.978938,125.421662,123.961576,128.548193,153.634302,152.899902,158.820832,141.745937,165.35301,173.984446,176.888756,192.666489,225.710871,222.188911,204.525275
Nuevo Hampshire,2.848132,3.38347,3.122675,3.203892,2.49795,3.677028,3.361814,3.075243,3.28132,4.956907,5.788092,6.331413,4.560659,5.38759,5.555326,5.557143,5.435089,5.769688,5.697253,5.798066,5.59552,6.382495,6.005593,6.437975,5.689315,7.159287,8.822665,7.699609,6.163011,7.527518,8.459839,7.744099,7.084833,11.119329,12.175506,11.451653,8.62791,12.619424,16.02827,18.001659,8.737441,13.870643,9.739954,8.165663
Nueva Jersey,89.916528,120.223092,107.066488,99.228647,82.768399,99.457934,106.40317,91.867944,84.984073,105.946063,114.825504,105.767,98.827586,131.808174,110.483545,107.683018,99.041741,115.965058,113.95704,111.46194,95.056166,169.045295,148.337955,143.531702,128.396851,156.322215,146.145022,130.866518,129.512397,123.115162,142.487951,137.280774,138.259444,169.833099,189.773865,183.41711,159.694008,200.776186,214.68021,213.865669,173.93345,207.640041,381.867226,348.66459
Nuevo Mexico,38.907756,44.717922,32.955844,32.087102,32.745745,30.049937,29.769193,31.085925,35.680722,36.580215,37.426245,34.825805,35.260105,37.557093,37.685941,38.03179,38.229118,41.95416,42.710532,44.263247,46.625341,54.359944,51.510996,54.027465,51.823904,61.920261,71.734088,67.703821,70.775781,79.596005,79.56282,69.439993,72.599238,89.985704,92.354448,90.539005,81.151621,97.801288,109.618283,101.628397,92.955113,110.921556,99.084208,88.959409
Nueva York,200.694085,226.635898,193.961088,206.423015,170.506089,214.582519,215.832454,198.829278,179.536361,237.13571,252.114158,236.383028,223.194397,304.447087,250.870388,254.39812,241.371226,270.16136,267.289685,275.614692,229.961948,312.471313,287.468949,308.444058,277.852676,327.78112,316.145631,289.229718,273.975106,220.964406,268.828439,265.933689,241.408536,304.881622,342.958202,327.061338,267.150811,345.58499,384.411721,396.302251,278.118564,351.752061,521.824957,450.474165
Carolina Del Norte,132.649076,177.421587,169.840425,143.254945,113.89957,141.594058,175.150257,147.924999,107.589038,150.853115,167.869015,142.065475,128.456212,213.190667,180.325265,166.665839,163.415718,185.916008,201.141819,189.199884,152.823588,215.559184,209.341634,205.512771,178.095172,230.955711,254.205356,232.701436,191.512588,218.969416,249.963334,234.5134,211.085919,268.921711,270.221878,266.887336,220.319666,290.051477,316.408198,304.324002,220.425931,270.578935,474.717047,388.492577
Dakota Del Norte,3.62542,16.63853,8.187432,6.319829,4.366923,7.211831,11.109691,10.360746,18.339124,26.997882,35.217827,33.514135,14.067978,4.625374,16.878603,16.541104,12.609887,19.200944,19.674369,20.102363,14.249115,22.745435,21.797999,23.089284,21.313242,24.704258,50.570161,35.392793,20.591879,26.55708,33.971692,24.513762,14.982137,34.651469,57.162924,39.008673,22.610924,42.691568,71.960899,63.617968,48.174906,74.745057,27.992824,23.962015
Ohio,43.093146,60.478154,54.318431,51.285269,43.861989,47.120191,54.68463,47.473273,38.887744,54.426338,59.107172,50.143563,44.272733,65.415224,57.761004,55.567664,53.032897,64.297725,66.140927,64.548551,53.713856,75.742088,72.632295,73.684098,62.782269,82.872433,98.546191,81.476423,70.75998,83.205123,97.692611,85.353991,76.743614,107.793335,120.057392,107.041523,83.064703,119.842226,139.871405,119.306851,219.821787,280.804058,344.09167,301.200136
Oklahoma,51.828383,60.130045,57.669281,51.975661,42.433686,46.21606,53.853597,50.460207,49.055164,57.31634,61.103098,55.572522,53.726483,59.621459,57.421822,57.135886,59.056275,64.36056,65.07853,65.641272,57.935195,76.754852,70.408783,72.927745,65.967176,78.050264,73.902203,68.492309,66.741757,72.737426,74.282101,72.680578,69.81196,85.947849,83.52438,88.210822,72.396802,87.814353,86.542452,89.44867,82.690787,101.990146,135.085204,123.042916
