Municipio,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023,Abr-Jun 2023,Jul-Sep 2023,Oct-Dic 2023,Ene-Mar 2024,Abr-Jun 2024
  ⚬ Sitio de Xitlapehua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281,0,0.005199,0.046084,0.004501,0.000348,0.009,0.004795,0.002605,0.001858,0.004422,0.004359,0.002364,0.006995,0,0,0,0,0,0,0,0
  ⚬ Soledad Etla,0.067029,0.100391,0.11808,0.085146,0.0855,0.10267,0.115072,0.133561,0.150423,0.155212,0.171898,0.153269,0.131184,0.129704,0.124197,0.132893,0.116557,0.138141,0.13727,0.144029,0.103309,0.15326,0.118302,0.12157,0.10808,0.142304,0.157582,0.154737,0.135619,0.166872,0.246774,0.21697,0.203468,0.290231,0.248532,0.267207,0.279899,0.327031,0.293157,0.242114,0.187048,0.253147,0.23089,0.200594,0.163498,0.241307
  ⚬ Tamazulápam del Espíritu Santo,0.184715,0.270558,0.23563,0.160478,0.192909,0.095747,0.064407,0.096891,0.091196,0.090854,0.091112,0.103976,0.113379,0.144563,0.135066,0.119337,0.109932,0.176964,0.256614,0.235008,0.249847,0.289209,0.295275,0.533623,0.479426,0.554204,0.538629,0.50563,0.76467,0.53754,0.838991,0.899365,1.263815,1.284498,1.305398,1.444523,1.35846,1.531502,1.121065,0.898443,0.97675,1.278184,1.464238,1.527486,1.511939,1.915757
  ⚬ Tanetze de Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001605,0.001643,0.000625,0.003222,0,0,0.004987,0.00559,0.006322,0.009435,0.009185,0,0,0,0,0,0,0,0.001637
  ⚬ Taniche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00005,0.00039,0.003844,0.016503,0.083563,0.150486,0.13775,0.110613,0,0.000108,0,0,0,0
  ⚬ Tataltepec de Valdés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002707,0.008075,0.010123,0.026681,0.035895,0.06958,0.077973,0.058534,0.08867,0.039833,0.102224,0.093964,0.239422,0.199741,0.20483,0.21579,0.274338,0.439841,0.25724,0.388561,0.434262,0.574555,0.565669,0.566624,0.497503,0.63194
  ⚬ Teococuilco de Marcos Pérez,0.034021,0.037932,0.025242,0,0,0,0,0,0,0.000358,0,0,0,0,0,0,0,0,0,0,0,0.001748,0.00133,0.006906,0.005529,0.000352,0.001197,0.001659,0.005538,0.005653,0.038165,0.022446,0.024349,0.058211,0.04709,0.064368,0.073025,0.083052,0,0,0,0.001589,0,0.000669,0.000899,0.000777
  ⚬ Teotitlán de Flores Magón,0.430088,0.516515,0.585475,0.450564,0.366651,0.461569,0.54262,0.505082,0.386908,0.476579,0.596102,0.530398,0.629353,1.014684,1.096611,1.044812,0.937334,1.109713,1.215364,1.133616,0.945911,1.267418,1.401264,1.29237,1.044795,1.389812,1.540208,1.392448,1.238009,1.205845,1.770048,1.629073,1.276544,1.699424,1.926961,1.920949,1.734325,2.07794,2.786348,2.652508,2.409774,2.946454,3.307517,3.177386,2.926264,3.975936
  ⚬ Teotitlán del Valle,0.555538,0.740881,0.638576,0.416461,0.500822,0.598364,0.654531,0.682975,0.606657,0.738774,0.795144,0.754535,0.65804,0.954049,0.898672,0.804606,0.726697,0.794113,0.833332,0.886912,0.718602,0.994258,0.823337,0.934261,0.7032,0.853507,0.859959,0.902388,1.002063,0.820572,0.916511,0.9594,1.147122,1.341018,1.150314,1.028787,0.876319,0.985336,0.712843,0.683086,0.026848,0.000599,0,0,0,0.012139
  ⚬ Teotongo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329,0.000938,0.004218,0.003825,0.012082,0.007112,0.00185,0.016648,0.00895,0.006434,0.01906,0.008501,0.00855,0.009052,0.011403,0,0,0,0,0,0,0,0
  ⚬ Tepelmeme Villa de Morelos,0.025316,0.034792,0.029973,0.245315,0.023449,0.024039,0.031951,0.033382,0.029507,0.030312,0.032595,0.042985,0.034715,0.03439,0.036571,0.028143,0.032698,0.042077,0.035954,0.035182,0.022435,0.059374,0.057075,0.062393,0.040381,0.046913,0.056448,0.02764,0.038671,0.047582,0.048162,0.043911,0.054715,0.047213,0.038247,0.045807,0.05171,0.052652,0.045707,0.029322,0.005671,0.024535,0.000152,0.002494,0.002479,0.005588
  ⚬ Tezoatlán de Segura y Luna,0.725903,0.768051,0.633144,0.555632,0.609418,0.514936,0.515887,0.549001,0.547637,0.498607,0.581524,0.607802,0.602526,0.601405,0.543423,0.575794,0.651068,0.667798,0.639669,0.686727,0.676352,0.878765,0.754879,0.919263,0.906628,0.861392,0.862843,0.865934,1.013735,0.872074,1.213481,1.077239,1.108834,1.217339,1.098831,1.23944,1.225492,1.248102,1.066597,1.067206,1.153388,1.01712,0.488279,0.352026,0.463958,0.60433
  ⚬ Tlacolula de Matamoros,9.482566,10.597498,9.813089,9.762122,10.650076,11.215227,12.743931,12.381463,13.083075,11.922186,14.707072,13.683914,14.521371,15.720704,15.978915,16.791624,15.914353,16.394223,16.398864,17.233307,16.658688,21.519755,18.641876,20.10306,18.479632,20.862228,21.903808,19.947389,22.628546,15.806783,18.644061,20.722572,22.905152,26.548186,27.986645,30.781417,29.132225,32.652207,36.837128,34.09424,34.776138,38.376636,42.105724,39.699045,36.175381,43.656298
  ⚬ Tlacotepec Plumas,0,0,0,0.000327,0,0,0,0.000317,0,0,0,0.000077,0,0,0,0.000053,0,0,0,0,0,0,0,0,0.001619,0.002385,0.002814,0.004261,0.003931,0.001464,0.001699,0,0.000349,0.003203,0.003038,0.002985,0.004555,0.002143,0,0,0,0.018967,0,0,0,0
  ⚬ Tlalixtac de Cabrera,0.364364,0.569146,0.582301,0.491225,0.497444,0.557367,0.404092,0.508527,0.495309,0.472194,0.544969,0.570777,0.599602,0.570853,0.628762,0.585507,0.790823,0.772615,0.876038,0.861825,0.77341,1.023226,0.953584,1.004727,0.929837,1.171777,1.20239,1.147888,1.135844,0.993374,1.378511,1.310534,1.130669,1.744388,1.884711,1.897321,1.845277,2.180396,2.052881,1.90504,1.831884,2.091543,2.263188,1.985884,1.781097,1.994997
  ⚬ Totontepec Villa de Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135,0,0.000246,0.000192,0.000099,0.006918,0.055594,0.012032,0.006857,0.031689,0.027692,0.051089,0.47333,0.642428,0.621136,0.679817,0.837849,0.812872,0.777124,0.815496,0.909566,0.974051,0.808763,0.946646,1.171411
  ⚬ Trinidad Zaachila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000697,0.000078,0,0.000421,0.00006,0,0,0.006351,0.020445,0.00647,0.014302,0.036394,0.092681,0.081134,0.126402,0.161193,0.06768,0,0,0,0,0,0.007992
  ⚬ Unión Hidalgo,0.040249,0.040904,0.04685,0.037073,0.038288,0.044163,0.05322,0.04224,0.039962,0.042678,0.051979,0.05535,0.046359,0.058712,0.059662,0.050538,0.054415,0.051505,0.084224,0.091429,0.066491,0.088788,0.065381,0.057565,0.046408,0.052334,0.025956,0.042238,0.030222,0.03552,0.061664,0.055756,0.039109,0.07396,0.0634,0.068716,0.070805,0.101081,0.050744,0.043869,0.036918,0.053392,0.052371,0.052307,0.054762,0.064545
  ⚬ Valerio Trujano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002867,0.000097,0,0.002314,0.001131,0.004255,0.005946,0.001888,0.00498,0.008343,0.015183,0.014704,0.012013,0,0,0,0.006266,0,0,0,0
  ⚬ Villa de Chilapa de Díaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019,0.002857,0.003956,0.012177,0.015413,0.022665,0.04321,0.02322,0.067582,0.04342,0.032782,0.106997,0.084415,0.085602,0.079781,0.12683,0.006633,0.009819,0.008373,0.005029,0.009604,0.012921,0.011012,0.010057
  ⚬ Villa de Etla,1.593487,2.017471,1.647223,2.173415,1.806142,2.05339,2.094404,2.140793,2.158034,2.202573,2.622184,2.49371,2.589961,3.08896,3.12033,3.108896,3.304045,3.722131,3.850769,3.883908,3.795146,4.75374,4.406361,4.190873,3.848891,4.488413,4.716861,4.454908,4.926804,4.228772,4.063479,5.315769,5.652504,6.647131,7.06416,7.852835,7.236217,10.63617,8.785421,8.552121,8.004977,9.505415,9.722562,9.358447,8.510254,10.559596
  ⚬ Villa de Tamazulápam del Progreso,0.703777,0.894806,0.854769,0.666,0.741352,0.982491,1.097007,1.102509,1.087396,1.13405,1.332345,1.27409,1.278047,1.510974,1.438124,1.45874,1.395424,1.495022,1.558113,1.539612,1.347741,1.861466,1.651569,1.640043,1.492279,1.715867,1.665471,1.374381,1.569797,1.572574,2.007017,1.806839,1.943123,2.468099,2.452732,2.450818,2.247745,2.783532,3.055407,3.172885,2.85313,3.344549,3.334433,3.268841,2.844774,3.815229
  ⚬ Villa de Tututepec de Melchor Ocampo,6.361116,7.698079,6.677727,5.57398,7.265015,7.794224,6.801861,7.354667,7.456505,7.293128,8.428635,8.220753,9.101295,10.049584,8.897759,9.698024,10.811379,11.048941,10.379534,11.487679,11.943359,14.091728,13.165413,13.198536,12.665135,14.040353,14.290454,13.83017,15.043582,11.557061,13.899652,14.689681,14.473659,17.519327,16.20909,16.521674,16.418046,18.669812,19.679279,20.695046,20.015357,22.47484,23.254367,22.95974,21.492089,25.889415
  ⚬ Villa de Zaachila,1.012559,1.099289,1.034891,0.614104,0.69546,0.811499,0.862609,0.793238,0.81161,0.753117,0.942007,0.767985,0.86654,1.100105,1.071214,0.931518,0.923476,1.016093,1.167656,1.072807,0.885691,1.1832,1.056075,1.051271,0.823665,1.076983,1.347902,1.178004,1.146182,1.14086,1.752215,1.331168,1.148181,1.576893,1.874883,1.283599,1.069885,1.333698,1.178308,0.958839,0.483789,0.601908,0.521165,0.388944,0.379548,0.599211
  ⚬ Villa Díaz Ordaz,0.001943,0,0.004097,0.013765,0.019516,0.014062,0.010785,0.012882,0.0185,0.003507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001614,0.002386,0.01053,0.00275,0.012707,0.030966,0.017923,0.035917,0.025725,0.028345,0.057978,0.078787,0.127914,0.210922,0.321729,0.090292,0.121081,0,0,0,0.017937,0.064163,0.068039
  ⚬ Villa Hidalgo,0.418631,0.404626,0.322594,0.373288,0.38634,0.470984,0.393754,0.376508,0.379726,0.372592,0.474628,0.276017,0.22324,0.389721,0.391223,0.405901,0.398305,0.452482,0.422028,0.408812,0.359466,0.582975,0.488409,0.428773,0.383712,0.455657,0.540916,0.389092,0.483417,0.277882,0.357756,0.358373,0.455298,0.479549,0.517809,0.549681,0.505928,0.608907,0.570672,0.57435,0.504402,0.821626,0.530147,0.487643,0.439647,0.614683
  ⚬ Villa Sola de Vega,2.566111,3.226428,2.778209,1.53509,1.94465,1.987106,2.073131,2.006203,2.161493,1.974498,2.424021,2.171363,2.377592,2.873029,2.844125,3.152772,2.916057,2.757832,2.367013,2.747067,2.715073,3.314708,2.69977,3.115167,2.44398,2.828698,3.296514,2.613015,3.379445,2.883272,3.529876,3.306653,3.172318,3.598138,3.245962,2.755312,2.363715,3.043624,2.928082,2.340498,1.487359,1.880565,1.724683,1.559027,1.512288,2.28222
  ⚬ Villa Talea de Castro,0.268921,0.36982,0.35818,0.25613,0.309553,0.276199,0.30312,0.263149,0.277419,0.292265,0.280069,0.199992,0.284652,0.302024,0.30998,0.352049,0.399563,0.430702,0.427497,0.378375,0.354029,0.506853,0.383182,0.399952,0.341188,0.330476,0.394062,0.303964,0.391748,0.353771,0.416736,0.456458,0.506734,0.475518,0.512137,0.574262,0.602008,0.616939,0.653235,0.592564,0.541189,0.547336,0.366623,0.273328,0.329334,0.457919
  ⚬ Villa Tejúpam de la Unión,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000088,0,0.000983,0.000182,0.002929,0.015133,0.004224,0.01147,0.004835,0.035291,0.017167,0.010898,0.01604,0.027742,0.01926,0.02343,0.051356,0,0,0,0,0,0,0,0
  ⚬ Yaxe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002543,0,0.009898,0.010589,0.006713,0.006112,0.021579,0.007983,0.004973,0.015275,0.008469,0.015758,0.02033,0.033561,0,0,0,0,0,0,0,0
  ⚬ Yogana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0.00813,0.004887,0.012387,0.014608,0.009728,0.018762,0.01982,0.019376,0.02749,0.072726,0,0,0,0,0,0,0,0
  ⚬ Yutanduchi de Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001046,0.001927,0.00311,0.000403,0.001101,0.001959,0.002713,0.026672,0.000471,0,0.001366,0.001278,0.001546,0.000964,0.000694,0.000931,0.00248,0.00196,0,0,0,0.004907,0,0,0,0
  ⚬ Zapotitlán del Río,0,0,0,0,0,0,0,0,0.002415,0.002573,0.002368,0.000659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025311,0.003823,0.001837,0.000987,0,0,0,0,0.003797,0.010496,0.00796,0,0,0,0.00046,0,0,0,0
  ⚬ Zapotitlán Lagunas,0.552519,0.576642,0.526027,0.452984,0.424402,0.494171,0.490772,0.585843,0.358735,0.363394,0.457807,0.454041,0.322587,0.270146,0.428492,0.524159,0.626291,0.71363,0.703695,0.718208,0.690907,0.905325,0.802208,0.874062,0.863402,1.049903,1.044216,0.813948,0.786425,0.933727,1.045554,1.066301,0.759663,1.508664,1.017308,1.089978,0.637093,1.191318,1.133683,1.015748,0.865448,0.980398,0.796478,0.598358,0.679151,0.941234
  ⚬ Zapotitlán Palmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001933,0.000284,0.00919,0.002759,0.005094,0.003398,0.010054,0.005228,0.024839,0.027348,0.025939,0.033679,0.055979,0,0,0,0,0,0,0,0
  ⚬ Zimatlán de Álvarez,4.762755,5.638779,4.780082,4.027622,4.755673,5.353074,5.50969,5.597597,5.780425,5.280026,6.463535,5.827553,6.221728,6.967383,7.325439,7.777049,8.414732,8.702122,8.973355,9.137054,8.681743,8.28923,10.327224,11.684971,10.5099,12.041025,13.775235,13.136956,4.222814,4.544139,5.378116,5.363603,5.088786,6.037846,6.731495,6.235979,15.282504,23.074156,25.973905,26.12332,24.144506,26.628923,30.499339,29.366764,25.799455,30.616884
  ⚬ No identificado,0.612249,0.110603,0.018519,0.589369,0.973316,1.093691,1.204052,1.548481,1.208383,0.934242,1.31144,1.19372,1.158326,1.269139,1.332237,1.545389,1.376996,1.45724,1.405629,1.560274,1.504295,0,1.996683,2.344276,1.70365,1.972947,2.371969,1.96783,2.411705,2.191206,2.697127,2.434825,2.261382,2.715888,3.1569,3.204927,2.714212,3.130475,3.286918,17.729443,4.937564,5.625693,6.523573,8.017302,7.308177,8.829017
